"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"284","Alberta","2010/2011","College","Total, registration status","Canadian students",55953,"AB"
"285","Alberta","2009/2010","University","Full-time student","Canadian students",85185,"AB"
"286","Alberta","2009/2010","University","Full-time student","Total, student status",92574,"AB"
"287","Alberta","2014/2015","University","Part-time student","International students",837,"AB"
"288","Alberta","2014/2015","University","Part-time student","Total, student status",20499,"AB"
"289","Alberta","2014/2015","College","Full-time student","Total, student status",42918,"AB"
"290","Alberta","2014/2015","College","Part-time student","Canadian students",11655,"AB"
"291","Alberta","2014/2015","College","Part-time student","International students",591,"AB"
"292","Alberta","2014/2015","College","Part-time student","Total, student status",12261,"AB"
"293","Alberta","1993/1994","University","Part-time student","International students",192,"AB"
"294","Alberta","1993/1994","College","Part-time student","International students",153,"AB"
"295","Alberta","1993/1994","College","Part-time student","Total, student status",17280,"AB"
"296","Alberta","1993/1994","University","Total, registration status","International students",2889,"AB"
"297","Alberta","2005/2006","University","Part-time student","International students",537,"AB"
"298","Alberta","2014/2015","University","Full-time student","Total, student status",108351,"AB"
"299","Alberta","2014/2015","University","Part-time student","Canadian students",19608,"AB"
"300","Alberta","2005/2006","University","Part-time student","Total, student status",23595,"AB"
"301","Alberta","2009/2010","University","Part-time student","Canadian students",32181,"AB"
"302","Alberta","2014/2015","University","Total, registration status","Canadian students",116196,"AB"
"303","Alberta","2014/2015","University","Total, registration status","International students",12579,"AB"
"304","Alberta","2014/2015","University","Total, registration status","Total, student status",128847,"AB"
"305","Alberta","2001/2002","College","Total, registration status","Total, student status",49446,"AB"
"306","Alberta","2014/2015","College","Total, registration status","Canadian students",51267,"AB"
"307","Alberta","1993/1994","University","Part-time student","Total, student status",17685,"AB"
"308","Alberta","1993/1994","University","Total, registration status","Canadian students",65880,"AB"
"309","Alberta","2005/2006","University","Part-time student","Canadian students",23058,"AB"
"310","Alberta","2014/2015","University","Full-time student","International students",11742,"AB"
"311","Alberta","2005/2006","University","Full-time student","Total, student status",68070,"AB"
"312","Alberta","2003/2004","University","Total, registration status","International students",5631,"AB"
"313","Alberta","2003/2004","University","Total, registration status","Total, student status",86097,"AB"
